Accession,SRA_Accession,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Genotype,Segment,Host,Isolation_Source,BioSample,GenBank_Title
AB982131,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),1122,GenBank,,6,Homo sapiens,,,"Influenza C virus (C/Leyte/1/2011) M gene for matrix protein, partial cds"
AB982132,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),1122,GenBank,,6,Homo sapiens,,,"Influenza C virus (C/Leyte/2/2011) M gene for matrix protein, partial cds"
AB982133,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),1122,GenBank,,6,Homo sapiens,,,"Influenza C virus (C/Leyte/3/2011) M gene for matrix protein, partial cds"
AB982140,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),1122,GenBank,,6,Homo sapiens,,,"Influenza C virus (C/Biliran/1/2013) M gene for matrix protein, partial cds"
AB982141,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),1122,GenBank,,6,Homo sapiens,,,"Influenza C virus (C/Biliran/2/2013) M gene for matrix protein, partial cds"
AB982142,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),1122,GenBank,,6,Homo sapiens,,,"Influenza C virus (C/Biliran/3/2013) M gene for matrix protein, partial cds"
AB982143,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),1122,GenBank,,6,Homo sapiens,,,"Influenza C virus (C/Leyte/1/2013) M gene for matrix protein, partial cds"
AB982144,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),1122,GenBank,,6,Homo sapiens,,,"Influenza C virus (C/Leyte/2/2013) M gene for matrix protein, partial cds"
AB982145,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),1122,GenBank,,6,Homo sapiens,,,"Influenza C virus (C/Leyte/3/2013) M gene for matrix protein, partial cds"
AB982146,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),1122,GenBank,,6,Homo sapiens,,,"Influenza C virus (C/Palawan/1/2013) M gene for matrix protein, partial cds"
AB985616,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),862,GenBank,,7,Homo sapiens,,,"Influenza C virus (C/Leyte/1/2011) NS gene for nonstructural protein 2, complete cds"
AB985617,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),862,GenBank,,7,Homo sapiens,,,"Influenza C virus (C/Leyte/2/2011) NS gene for nonstructural protein 2, complete cds"
AB985618,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),862,GenBank,,7,Homo sapiens,,,"Influenza C virus (C/Leyte/3/2011) NS gene for nonstructural protein 2, complete cds"
AB985625,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),862,GenBank,,7,Homo sapiens,,,"Influenza C virus (C/Biliran/1/2013) NS gene for nonstructural protein 2, complete cds"
AB985626,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),862,GenBank,,7,Homo sapiens,,,"Influenza C virus (C/Biliran/2/2013) NS gene for nonstructural protein 2, complete cds"
AB985627,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),862,GenBank,,7,Homo sapiens,,,"Influenza C virus (C/Biliran/3/2013) NS gene for nonstructural protein 2, complete cds"
AB985628,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),862,GenBank,,7,Homo sapiens,,,"Influenza C virus (C/Leyte/1/2013) NS gene for nonstructural protein 2, complete cds"
AB985629,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),862,GenBank,,7,Homo sapiens,,,"Influenza C virus (C/Leyte/2/2013) NS gene for nonstructural protein 2, complete cds"
AB985630,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),862,GenBank,,7,Homo sapiens,,,"Influenza C virus (C/Leyte/3/2013) NS gene for nonstructural protein 2, complete cds"
AB985631,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),862,GenBank,,7,Homo sapiens,,,"Influenza C virus (C/Palawan/1/2013) NS gene for nonstructural protein 2, complete cds"
AB978548,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),1926,GenBank,,4,Homo sapiens,,,"Influenza C virus (C/Leyte/1/2011) HE gene for hemagglutinin-esterase, partial cds"
AB978549,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),1926,GenBank,,4,Homo sapiens,,,"Influenza C virus (C/Leyte/2/2011) HE gene for hemagglutinin-esterase, partial cds"
AB978550,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),1926,GenBank,,4,Homo sapiens,,,"Influenza C virus (C/Leyte/3/2011) HE gene for hemagglutinin-esterase, partial cds"
AB978551,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),1926,GenBank,,4,Homo sapiens,,,"Influenza C virus (C/Leyte/4/2011) HE gene for hemagglutinin-esterase, partial cds"
AB978552,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),1926,GenBank,,4,Homo sapiens,,,"Influenza C virus (C/Leyte/5/2011) HE gene for hemagglutinin-esterase, partial cds"
AB978560,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),1926,GenBank,,4,Homo sapiens,,,"Influenza C virus (C/Biliran/1/2013) HE gene for hemagglutinin-esterase, partial cds"
AB978561,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),1926,GenBank,,4,Homo sapiens,,,"Influenza C virus (C/Biliran/2/2013) HE gene for hemagglutinin-esterase, partial cds"
AB978562,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),1926,GenBank,,4,Homo sapiens,,,"Influenza C virus (C/Biliran/3/2013) HE gene for hemagglutinin-esterase, partial cds"
AB978563,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),1926,GenBank,,4,Homo sapiens,,,"Influenza C virus (C/Leyte/1/2013) HE gene for hemagglutinin-esterase, partial cds"
AB978564,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),1926,GenBank,,4,Homo sapiens,,,"Influenza C virus (C/Leyte/2/2013) HE gene for hemagglutinin-esterase, partial cds"
AB978565,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),1926,GenBank,,4,Homo sapiens,,,"Influenza C virus (C/Leyte/3/2013) HE gene for hemagglutinin-esterase, partial cds"
AB978566,,Influenza C virus,Gammainfluenzavirus,Orthomyxoviridae,ssRNA(-),1926,GenBank,,4,Homo sapiens,,,"Influenza C virus (C/Palawan/1/2013) HE gene for hemagglutinin-esterase, partial cds"
KJ645943,,Orthohepevirus A,Orthohepevirus,Hepeviridae,ssRNA(+),351,GenBank,,,Sus scrofa,,,"Swine hepatitis E virus isolate Mor_PHL_2010_Tjs-86 capsid protein gene, partial cds"
KJ645944,,Orthohepevirus A,Orthohepevirus,Hepeviridae,ssRNA(+),351,GenBank,,,Sus scrofa,,,"Swine hepatitis E virus isolate Vil_PHL_2010_Tjs-129 capsid protein gene, partial cds"
KJ645945,,Orthohepevirus A,Orthohepevirus,Hepeviridae,ssRNA(+),351,GenBank,,,Sus scrofa,,,"Swine hepatitis E virus isolate Vil_PHL_2010_Tjs-132 capsid protein gene, partial cds"
KJ645946,,Orthohepevirus A,Orthohepevirus,Hepeviridae,ssRNA(+),351,GenBank,,,Sus scrofa,,,"Swine hepatitis E virus isolate Vil_PHL_2010_Tjs-130 capsid protein gene, partial cds"
KJ645947,,Orthohepevirus A,Orthohepevirus,Hepeviridae,ssRNA(+),351,GenBank,,,Sus scrofa,,,"Swine hepatitis E virus isolate Mor_PHL_2010_Tjs-142 capsid protein gene, partial cds"
KJ645948,,Orthohepevirus A,Orthohepevirus,Hepeviridae,ssRNA(+),351,GenBank,,,Sus scrofa,,,"Swine hepatitis E virus isolate Mor_PHL_2010_Tjs-148 capsid protein gene, partial cds"
KJ645949,,Orthohepevirus A,Orthohepevirus,Hepeviridae,ssRNA(+),351,GenBank,,,Sus scrofa,,,"Swine hepatitis E virus isolate Mor_PHL_2010_Tjs-149 capsid protein gene, partial cds"
KJ645950,,Orthohepevirus A,Orthohepevirus,Hepeviridae,ssRNA(+),351,GenBank,,,Sus scrofa,,,"Swine hepatitis E virus isolate Mor_PHL_2010_Tjs-150 capsid protein gene, partial cds"
KJ645951,,Orthohepevirus A,Orthohepevirus,Hepeviridae,ssRNA(+),350,GenBank,,,Sus scrofa,,,"Swine hepatitis E virus isolate Vil_PHL_2011_Tjs-223 capsid protein gene, partial cds"
KJ645952,,Orthohepevirus A,Orthohepevirus,Hepeviridae,ssRNA(+),351,GenBank,,,Sus scrofa,,,"Swine hepatitis E virus isolate Vil_PHL_2010_Tjs-128 capsid protein gene, partial cds"
KJ645953,,Orthohepevirus A,Orthohepevirus,Hepeviridae,ssRNA(+),351,GenBank,,,Sus scrofa,,,"Swine hepatitis E virus isolate Vil_PHL_2010_Tjs-127 capsid protein gene, partial cds"
KJ645954,,Orthohepevirus A,Orthohepevirus,Hepeviridae,ssRNA(+),321,GenBank,,,Sus scrofa,,,"Swine hepatitis E virus isolate Vil_PHL_2010_Tjs-078 capsid protein gene, partial cds"
KJ645955,,Orthohepevirus A,Orthohepevirus,Hepeviridae,ssRNA(+),348,GenBank,,,Sus scrofa,,,"Swine hepatitis E virus isolate Pao_PHL_2011_Tjs-269 capsid protein gene, partial cds"
KJ645956,,Orthohepevirus A,Orthohepevirus,Hepeviridae,ssRNA(+),316,GenBank,,,Sus scrofa,,,"Swine hepatitis E virus isolate Vil_PHL_2011_Tjs-351 capsid protein gene, partial cds"
KJ645957,,Orthohepevirus A,Orthohepevirus,Hepeviridae,ssRNA(+),351,GenBank,,,Sus scrofa,,,"Swine hepatitis E virus isolate Pao_PHL_2011_Tjs-271 capsid protein gene, partial cds"
KJ645958,,Orthohepevirus A,Orthohepevirus,Hepeviridae,ssRNA(+),319,GenBank,,,Sus scrofa,,,"Swine hepatitis E virus isolate Pao_PHL_2011_Tjs-324 capsid protein gene, partial cds"
KJ645959,,Orthohepevirus A,Orthohepevirus,Hepeviridae,ssRNA(+),319,GenBank,,,Sus scrofa,,,"Swine hepatitis E virus isolate Lub_PHL_2011_Tjs-333 capsid protein gene, partial cds"
KJ645960,,Orthohepevirus A,Orthohepevirus,Hepeviridae,ssRNA(+),315,GenBank,,,Sus scrofa,,,"Swine hepatitis E virus isolate Vil_PHL_2011_Tjs-355 capsid protein gene, partial cds"
KJ645961,,Orthohepevirus A,Orthohepevirus,Hepeviridae,ssRNA(+),315,GenBank,,,Sus scrofa,,,"Swine hepatitis E virus isolate Mor_PHL_2010_Tjs-173 capsid protein gene, partial cds"
KJ645962,,Orthohepevirus A,Orthohepevirus,Hepeviridae,ssRNA(+),345,GenBank,,,Sus scrofa,,,"Swine hepatitis E virus isolate Vil_PHL_2011_Tjs-224 capsid protein gene, partial cds"
KJ645963,,Orthohepevirus A,Orthohepevirus,Hepeviridae,ssRNA(+),315,GenBank,,,Sus scrofa,,,"Swine hepatitis E virus isolate Vil_PHL_2011_Tjs-352 capsid protein gene, partial cds"
KJ645964,,Orthohepevirus A,Orthohepevirus,Hepeviridae,ssRNA(+),315,GenBank,,,Sus scrofa,,,"Swine hepatitis E virus isolate Vil_PHL_2011_Tjs-359 capsid protein gene, partial cds"
KM873377,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TBp-12-0079 glycoprotein gene, partial cds"
KM873378,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TBp-12-0094 glycoprotein gene, partial cds"
KM873379,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TBp-13-0037 glycoprotein gene, partial cds"
KM873380,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TBp-13-0055 glycoprotein gene, partial cds"
KM873381,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TBp-13-0069 glycoprotein gene, partial cds"
KM873382,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TBp-13-0082 glycoprotein gene, partial cds"
KM873383,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TBp-13-0119 glycoprotein gene, partial cds"
KM873384,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TBp-13-0210 glycoprotein gene, partial cds"
KM873385,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TBp-13-0215 glycoprotein gene, partial cds"
KM873386,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TBp-13-0229 glycoprotein gene, partial cds"
KM873387,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TBp-13-0268 glycoprotein gene, partial cds"
KM873388,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-12-0021 glycoprotein gene, partial cds"
KM873389,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-12-0077 glycoprotein gene, partial cds"
KM873390,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-12-0118 glycoprotein gene, partial cds"
KM873391,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-12-0124 glycoprotein gene, partial cds"
KM873392,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-12-0129 glycoprotein gene, partial cds"
KM873393,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-12-0135 glycoprotein gene, partial cds"
KM873394,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-12-0137 glycoprotein gene, partial cds"
KM873395,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-12-0143 glycoprotein gene, partial cds"
KM873396,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-12-0158 glycoprotein gene, partial cds"
KM873397,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-12-0162 glycoprotein gene, partial cds"
KM873398,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-12-0163 glycoprotein gene, partial cds"
KM873399,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-12-0164 glycoprotein gene, partial cds"
KM873400,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-12-0168 glycoprotein gene, partial cds"
KM873401,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-12-0169 glycoprotein gene, partial cds"
KM873402,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-12-0184 glycoprotein gene, partial cds"
KM873403,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-12-0187 glycoprotein gene, partial cds"
KM873404,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-12-0189 glycoprotein gene, partial cds"
KM873405,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-12-0192 glycoprotein gene, partial cds"
KM873406,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-12-0201 glycoprotein gene, partial cds"
KM873407,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-13-0028 glycoprotein gene, partial cds"
KM873408,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-13-0029 glycoprotein gene, partial cds"
KM873409,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-13-0032 glycoprotein gene, partial cds"
KM873410,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-13-0034 glycoprotein gene, partial cds"
KM873411,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-13-0037 glycoprotein gene, partial cds"
KM873412,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-13-0045 glycoprotein gene, partial cds"
KM873413,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-13-0046 glycoprotein gene, partial cds"
KM873414,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-13-0157 glycoprotein gene, partial cds"
KM873415,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-13-0159 glycoprotein gene, partial cds"
KM873416,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-13-0185 glycoprotein gene, partial cds"
KM873417,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-13-0196 glycoprotein gene, partial cds"
KM873418,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-13-0202 glycoprotein gene, partial cds"
KM873419,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-13-0233 glycoprotein gene, partial cds"
KM873420,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-13-0236 glycoprotein gene, partial cds"
KM873421,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-13-0262 glycoprotein gene, partial cds"
KM873422,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TEv-13-0270 glycoprotein gene, partial cds"
KM873423,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-12-0061 glycoprotein gene, partial cds"
KM873424,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-12-0117 glycoprotein gene, partial cds"
KM873425,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-12-0124 glycoprotein gene, partial cds"
KM873426,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-12-0144 glycoprotein gene, partial cds"
KM873427,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-12-0149 glycoprotein gene, partial cds"
KM873428,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-12-0159 glycoprotein gene, partial cds"
KM873429,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-12-0169 glycoprotein gene, partial cds"
KM873430,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-12-0172 glycoprotein gene, partial cds"
KM873431,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-12-0175 glycoprotein gene, partial cds"
KM873432,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-12-0176 glycoprotein gene, partial cds"
KM873433,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-12-0177 glycoprotein gene, partial cds"
KM873434,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-12-0180 glycoprotein gene, partial cds"
KM873435,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-12-0190 glycoprotein gene, partial cds"
KM873436,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-13-0008 glycoprotein gene, partial cds"
KM873437,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-13-0026 glycoprotein gene, partial cds"
KM873438,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-13-0042 glycoprotein gene, partial cds"
KM873439,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-13-0056 glycoprotein gene, partial cds"
KM873440,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-13-0061 glycoprotein gene, partial cds"
KM873441,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-13-0071 glycoprotein gene, partial cds"
KM873442,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-13-0077 glycoprotein gene, partial cds"
KM873443,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-13-0078 glycoprotein gene, partial cds"
KM873444,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-13-0097 glycoprotein gene, partial cds"
KM873445,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-13-0135 glycoprotein gene, partial cds"
KM873446,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),270,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-13-0151 glycoprotein gene, partial cds"
KM873447,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-13-0158 glycoprotein gene, partial cds"
KM873448,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-13-0160 glycoprotein gene, partial cds"
KM873449,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-13-0167 glycoprotein gene, partial cds"
KM873450,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-13-0186 glycoprotein gene, partial cds"
KM873451,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-13-0200 glycoprotein gene, partial cds"
KM873452,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-13-0208 glycoprotein gene, partial cds"
KM873453,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-13-0222 glycoprotein gene, partial cds"
KM873454,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),342,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus A isolate TOp-13-0224 glycoprotein gene, partial cds"
